"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|P61158|ARP3_HUMAN",-19.723863082,-20.1166633894,-19.7449278352,-19.7791204048,-19.844983114,-19.9740201842,16,13,19,17,16,17,0.970591212296984,0.975752264095822,0.00422313213333325
"sp|P61160|ARP2_HUMAN",-20.3425139148,-20.3220899662,-20.6237462109,-20.6216990299,-20.1097279604,-20.393473503,14,9,7,13,11,10,0.844928509280742,0.945076373090673,-0.0544831995333332
"sp|P61163|ACTZ_HUMAN",-21.1856940423,-21.9788050667,-21.9564870825,-21.0182818093,-21.9660007947,-20.6510496945,9,6,4,8,4,9,0.252214762180974,0.596786534047437,-0.495217964333335
"sp|P61175|RL22_ECOLI",-21.042134028,-20.6094870438,-20.8599438771,-20.0320625244,-20.9584172899,-19.6185661221,1,1,1,3,3,2,0.143600493039443,0.455128205128205,-0.634173004166666
"sp|P61201|CSN2_HUMAN",-20.9874335457,-21.3128910701,-21.1915535687,-21.6127900998,-21.3171645684,-23.0753779471,10,8,13,9,12,7,0.093082656612529,0.368723098995696,0.8378181436
"sp|P61204|ARF3_HUMAN",-21.0824132786,-20.8657151901,-21.1946650803,-21.868605757,-21.8636121118,-22.1201883075,8,9,7,9,8,8,0.0208855858468677,0.15625,0.9032042091
"sp|P61221|ABCE1_HUMAN",-20.2234816465,-20.361184834,-20.5767107947,-20.1647725131,-20.182874406,-20.1580106467,21,19,19,21,23,23,0.4470311774942,0.76943140323422,-0.218573236466668
"sp|P61225|RAP2B_HUMAN",NA,NA,NA,-21.7217922139,-22.4647298919,-22.5592440918,2,1,2,3,2,2,NA,NA,NA
"sp|P61244|MAX_HUMAN",NA,NA,NA,NA,-21.9766518842,NA,2,NA,NA,1,1,NA,NA,NA,NA
"sp|P61247|RS3A_HUMAN",-18.3826112998,-18.2277419132,-18.3799087056,-18.2320160944,-18.3057663542,-18.5034410171,43,36,32,46,38,42,0.933619634570766,0.966576332429991,0.0169871823666661
"sp|P61254|RL26_HUMAN",-22.3698537452,NA,NA,-22.266436394,NA,NA,12,12,10,12,12,2,NA,NA,NA
"sp|P61289|PSME3_HUMAN",-19.2298788332,-18.9752247909,-19.4056077951,-19.4753437541,-20.2260321039,-19.6436273066,18,22,17,19,17,21,0.128415748259861,0.439497716894977,0.578097248466666
"sp|P61313|RL15_HUMAN",-18.6786979846,-19.1194030613,-18.874867284,-18.6766402388,-20.0399369403,-18.5714348852,24,18,21,24,12,21,0.608796548723898,0.857023060796646,0.205014578133333
"sp|P61326|MGN_HUMAN",-19.0088713116,-18.9871202891,-19.3361863348,-18.8491064307,-18.5699234965,-18.8266836155,10,10,12,17,13,11,0.254205626450116,0.596946564885496,-0.362154797599999
"sp|P61353|RL27_HUMAN",-19.063638876,-18.399695099,-18.6404109704,-18.9157724127,-19.0979022048,-18.7212962637,14,11,14,12,12,17,0.515431989559165,0.819299905392621,0.210408645266668
"sp|P61421|VA0D1_HUMAN",-20.9099764928,-20.9472596887,-20.7137069159,-20.8247457536,-21.6267438912,-20.3690281206,7,7,6,8,8,9,0.810290893271462,0.932391523713421,0.0831915559999992
"sp|P61513|RL37A_HUMAN",-20.2635344511,-20.4822895158,-20.1151274431,-19.7216588666,-19.3857371326,-19.8602492373,5,4,5,3,6,8,0.0792323085846868,0.34375,-0.631102057833335
"sp|P61517|CAN_ECOLI",NA,NA,NA,NA,-22.7844981361,-21.6129581858,1,NA,1,1,2,2,NA,NA,NA
"sp|P61586|RHOA_HUMAN",-22.549682607,-22.4143813782,-22.7946883631,-22.5520384383,-22.697606591,-22.2353566842,9,8,9,9,6,7,0.753962732018561,0.907899397803755,-0.091250211600002
"sp|P61604|CH10_HUMAN",-19.6546760537,-19.0986353329,-18.8864077216,-20.2218729785,-19.0384716921,-19.450074274,12,12,11,12,14,12,0.372685614849188,0.716071428571429,0.356899945466665
"sp|P61714|RISB_ECOLI",NA,NA,NA,-22.3808741708,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"sp|P61758|PFD3_HUMAN",-20.3216769855,-21.3567566585,-21.4923897677,-21.6188978368,-20.2959381817,-20.5184022085,11,3,8,9,8,10,0.564119779582367,0.842756183745583,-0.245861728233336
"sp|P61764|STXB1_HUMAN",NA,NA,-23.9728225775,-23.3224253202,NA,NA,NA,1,1,2,NA,1,NA,NA,NA
"sp|P61769|B2MG_HUMAN",-20.8116675959,-20.9868519351,NA,-20.8553385613,-19.9601210451,-19.9213500045,2,1,1,3,2,3,0.130209106728538,0.439497716894977,-0.653656561866665
"sp|P61889|MDH_ECOLI",-20.5090365328,-21.2205112959,-20.5253551787,-19.8797094817,-19.7750447804,-19.2299702124,6,6,8,17,18,15,0.0186538573085847,0.142857142857143,-1.1233928443
"sp|P61916|NPC2_HUMAN",-22.0351455088,-21.8303619801,-22.1853478148,-22.1358153634,-21.9039922108,NA,2,1,1,2,4,3,0.974422418793503,0.977551020408163,0.00295201919999855
"sp|P61923|COPZ1_HUMAN",-20.9282326644,-20.8827678092,-20.7333357723,-20.3040614592,-20.0653807064,-20.5476007998,5,4,4,4,5,5,0.11279219837587,0.408629441624365,-0.542431093499999
"sp|P61949|FLAV_ECOLI",NA,NA,NA,-22.3981372384,NA,-22.0243249054,NA,NA,NA,1,2,2,NA,NA,NA
"sp|P61956|SUMO2_HUMAN",-20.0725098359,-20.685451957,-20.1890157975,-20.4847333297,-21.1011627081,-19.8243613864,8,3,5,6,4,7,0.679077581206497,0.88553987027852,0.154426611266665
"sp|P61960|UFM1_HUMAN",-20.3996812721,-20.1359386222,-19.9552850324,-20.2364852961,-19.7942220934,-20.2906220113,2,2,1,4,2,1,0.843860498839907,0.944498857329416,-0.0565251752999991
"sp|P61962|DCAF7_HUMAN",-22.2425027865,-22.072298515,-23.2771948668,-22.5494795486,-21.841522071,-22.0662042418,4,6,6,5,4,8,0.352792923433875,0.699692307692308,-0.378263435633333
"sp|P61964|WDR5_HUMAN",-21.4509969851,-20.6354741751,-20.8730786514,-20.8518323149,-21.0104190775,-21.1273025368,5,7,8,9,7,7,0.95709846287703,0.972238629651506,0.0100013725333312
"sp|P61966|AP1S1_HUMAN",NA,-21.4459750886,NA,-21.5738621221,-21.512722931,-21.3005311575,NA,1,NA,1,1,1,NA,NA,NA
"sp|P61970|NTF2_HUMAN",-18.6393879547,-19.64913297,-19.4497334457,-18.7620892983,-18.680480477,-19.738775084,10,5,6,9,9,4,0.633809164733179,0.86899918633035,-0.1856365037
"sp|P61978|HNRPK_HUMAN",-18.0217387219,-17.8367231093,-17.8281713914,-17.8006381911,-17.5194563522,-17.577829071,86,81,89,104,92,89,0.372886600928074,0.716071428571429,-0.262903202766665
"sp|P61981|1433G_HUMAN",-18.4752923799,-19.0032857843,-19.1129091062,-18.6436967833,-18.946413501,-18.3299489226,86,33,67,86,70,80,0.508452146171694,0.816531294792164,-0.223809354499998
"sp|P62070|RRAS2_HUMAN",NA,NA,-22.4293455587,-22.7390966901,-22.3979350924,-22.9068917692,NA,3,3,1,2,2,NA,NA,NA
"sp|P62072|TIM10_HUMAN",-21.2468982807,NA,-20.2634026713,-21.4738963142,NA,NA,3,1,2,2,NA,5,NA,NA,NA
"sp|P62081|RS7_HUMAN",-17.5765441189,-18.2147425964,-17.9018799077,-17.4199963154,-17.595233033,-17.7278312915,41,22,27,38,27,30,0.337091647331787,0.688369152970923,-0.316701994366667
"sp|P62136|PP1A_HUMAN",NA,-21.8333355467,NA,-23.2964237279,-21.994418786,NA,18,14,13,17,16,16,NA,NA,NA
"sp|P62140|PP1B_HUMAN",-23.1075640644,-23.0023609388,-22.9976747716,-21.4444200812,-21.8711509845,-21.2558576664,15,10,12,13,11,14,0.00375812064965197,0.0618556701030928,-1.51205701423333
"sp|P62191|PRS4_HUMAN",-20.0650036625,-19.7722543383,-20.0395793786,-19.4400016336,-19.47060076,-19.2677072871,26,19,25,31,27,28,0.0894363399071926,0.362573099415205,-0.566175899566669
"sp|P62195|PRS8_HUMAN",-19.3894956873,-19.3873445161,-19.505235268,-19.1093068379,-19.2617042707,-19.2401507718,28,27,22,32,34,28,0.418075551044084,0.75177304964539,-0.223637863666667
"sp|P62241|RS8_HUMAN",-18.7300578556,-18.757126856,-18.5117637613,-18.6687597394,-19.0959474025,-18.2382196965,19,20,18,21,19,25,0.978865284222738,0.977951842181607,0.00132612183333336
"sp|P62244|RS15A_HUMAN",-18.3139698667,-18.4139156421,-18.7259248099,-17.8832806118,-18.4534746576,-18.0810899615,16,11,11,20,16,17,0.302241154292343,0.656441717791411,-0.345321695933333
"sp|P62249|RS16_HUMAN",-20.2759685985,-19.7795908212,-20.4311145992,-19.5806178652,-19.7121899979,-19.3967942939,12,9,12,16,14,14,0.104565980278422,0.399460188933873,-0.599023953966665
"sp|P62253|UB2G1_HUMAN",-22.0923033795,NA,-21.672367612,-21.5025001342,-21.2950502489,-21.4014711371,2,1,3,3,4,1,0.159973027842227,0.470292044310171,-0.48266165568333
"sp|P62256|UBE2H_HUMAN",-22.7000014804,NA,NA,-22.6455124167,NA,NA,1,1,1,1,1,NA,NA,NA,NA
"sp|P62258|1433E_HUMAN",-17.601725042,-17.5595706778,-17.4837481643,-17.2892641602,-17.5102737196,-17.2288687752,96,47,87,101,80,91,0.466779292343387,0.787126203750634,-0.205545743033333
"sp|P62263|RS14_HUMAN",-19.4710352279,-18.7934225716,-19.0306388364,-18.7934522462,-18.8200426891,-18.847036328,11,7,9,16,11,12,0.392430394431555,0.740334679746105,-0.278188457533336
"sp|P62266|RS23_HUMAN",-20.0852809749,-20.1160400666,-20.1947168804,-20.0992021437,-19.8842716861,-20.2281282896,10,10,11,8,10,10,0.815864559164733,0.934782608695652,-0.0614786008333326
"sp|P62269|RS18_HUMAN",-19.6094971582,-19.0616614409,-19.5869683588,-19.2610794501,-20.0606043395,-20.1975865334,21,18,18,19,21,18,0.274050899071926,0.631236442516269,0.420381121699997
"sp|P62277|RS13_HUMAN",-19.8752940712,-21.1124851983,-19.9579140304,-19.5716378598,-20.3941441769,-20.1084922199,17,8,9,20,9,12,0.474656902552204,0.792878635907723,-0.290473014433335
"sp|P62280|RS11_HUMAN",-19.1795844788,-19.6092364016,-18.846286298,-18.8768504123,-18.7428700872,-19.1090063139,16,18,18,18,19,19,0.377062209976798,0.719952634695086,-0.302126788333332
"sp|P62304|RUXE_HUMAN",-19.8299038563,-21.0771276065,-20.5899234913,-19.4508109494,-19.3918014934,-19.3470359814,9,7,7,8,8,8,0.0237215777262181,0.170967741935484,-1.10243550996666
"sp|P62306|RUXF_HUMAN",-19.0640137912,-19.0411707958,-18.745398906,-18.6728637745,-18.6128103079,-18.5793921101,7,7,8,8,7,7,0.276751015081206,0.634129213483146,-0.328505766833331
"sp|P62310|LSM3_HUMAN",NA,NA,-21.6634205036,-21.4925935721,NA,-21.3498687132,NA,1,3,3,3,4,NA,NA,NA
"sp|P62312|LSM6_HUMAN",NA,-20.9110301218,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"sp|P62314|SMD1_HUMAN",-19.9324903349,-20.6883950471,-19.2107757557,-18.7034096742,-21.357162614,-18.4190320427,7,7,8,12,5,11,0.448795823665893,0.771875,-0.450685602266667
"sp|P62316|SMD2_HUMAN",-18.789261662,-18.6587450603,-18.3220372402,-18.3936082238,-18.423875268,-18.8684179613,18,15,18,23,16,21,0.911671983758701,0.959264931087289,-0.0280475031333332
"sp|P62318|SMD3_HUMAN",-18.3751702418,-18.067901499,-18.0564162837,-18.2731769916,-17.8962049504,-17.7536831961,21,21,21,24,25,22,0.535233468677494,0.830641439778496,-0.192140962133333
"sp|P62330|ARF6_HUMAN",NA,NA,NA,-21.4652581125,NA,NA,1,2,1,4,1,1,NA,NA,NA
"sp|P62333|PRS10_HUMAN",-20.0451537867,-19.9222754107,-20.2131121822,-19.613807701,-19.8918617173,-19.9273408493,18,15,20,28,22,20,0.406908932714617,0.749019607843137,-0.249177037333332
"sp|P62380|TBPL1_HUMAN",-21.1825475262,-21.6069414971,-21.4701832355,-21.7760015498,-20.8530017524,NA,3,2,3,2,3,3,0.764169228538283,0.910877192982456,-0.105389101833332
"sp|P62399|RL5_ECOLI",NA,-22.1821890844,NA,-20.5218259472,-20.4922024223,-21.2021277092,1,4,4,10,6,9,NA,NA,NA
"sp|P62424|RL7A_HUMAN",-19.9668745709,-20.3402652837,-19.4363041218,-20.2171868214,-19.6675736369,-19.5394227863,14,15,19,15,17,18,0.754657627610209,0.907899397803755,-0.106420243933336
"sp|P62487|RPB7_HUMAN",-21.2690512794,-20.8555509425,NA,-21.2415834359,-22.4589587791,NA,2,3,1,2,4,4,0.131573955916473,0.439497716894977,0.78796999655
"sp|P62495|ERF1_HUMAN",-19.2000334438,-19.4820983661,-19.5680288421,-19.381308884,-19.0081765645,-19.0180848022,29,23,25,28,25,32,0.372857018561485,0.716071428571429,-0.280863467099998
"sp|P62633|CNBP_HUMAN",-20.627432849,-19.2468771373,-19.5287339176,-19.4599328317,-19.7637213041,-19.5902423444,6,8,7,7,8,5,0.606916473317865,0.855942881142377,-0.196382474566665
"sp|P62701|RS4X_HUMAN",-19.0865205257,-19.1934545857,-18.7966198646,-18.686518289,-19.1771268228,-18.4273245889,31,24,33,39,26,41,0.437346432714617,0.764456233421751,-0.261875091766665
"sp|P62707|GPMA_ECOLI",-21.688061585,-22.9989956823,-22.5885751741,-21.2224541951,-20.7412470665,-20.2653956744,3,3,3,4,7,5,0.00699593967517401,0.0699300699300699,-1.6821785018
"sp|P62714|PP2AB_HUMAN",NA,NA,NA,-23.3450952044,NA,-22.6577868798,13,1,11,19,1,14,NA,NA,NA
"sp|P62750|RL23A_HUMAN",-19.885651027,-19.4022362461,-19.7269753816,-20.2596874981,-19.8453473416,-19.3499730942,15,11,10,15,14,14,0.664146606728538,0.876509544215037,0.146715093066664
"sp|P62753|RS6_HUMAN",-20.3267525663,-20.263746663,-19.4749019697,-20.5914199326,-20.2159028049,-20.6610161243,8,8,13,9,9,6,0.219625725058005,0.558798999165972,0.4676458876
"sp|P62768|YAEH_ECOLI",NA,NA,NA,-21.054320436,NA,NA,NA,1,NA,3,2,4,NA,NA,NA
"sp|P62805|H4_HUMAN",-18.981891158,-18.9955770418,-19.4459952112,-19.1216742085,-18.9032819132,-18.6030930012,10,9,10,16,13,17,0.418133845707657,0.75177304964539,-0.265138096033333
"sp|P62820|RAB1A_HUMAN",NA,-21.2627145412,-21.450110159,-21.2428183547,-21.3730961916,-21.9042858694,14,14,13,16,14,18,0.648647331786543,0.87515006002401,0.150321121799998
"sp|P62826|RAN_HUMAN",-18.6378287147,-18.685247715,-18.7162230083,-18.3428443471,-18.6232973038,-18.0974418562,32,29,32,35,27,35,0.302904147331787,0.656696125084976,-0.32523864363333
"sp|P62829|RL23_HUMAN",-19.0928290131,-19.9398049335,-20.0644370862,-18.9148275522,-19.1931795052,-19.4107649693,16,9,18,21,13,15,0.186416473317865,0.523020257826888,-0.526099668699999
"sp|P62834|RAP1A_HUMAN",-22.7531624676,NA,-21.1750692184,-22.6327023321,-22.0660464771,-22.3261604209,2,4,5,6,3,3,0.417460846867749,0.75177304964539,0.377520567033329
"sp|P62841|RS15_HUMAN",-18.6178317417,-20.3204137052,-19.170193849,-17.9600360108,-17.9819888112,-18.9658574287,20,10,18,27,24,22,0.0493916763341067,0.267515923566879,-1.0668523484
"sp|P62847|RS24_HUMAN",-18.8484058341,-19.8588023341,-19.3205271391,-18.8432743859,-19.0286768988,-18.7252316645,12,9,12,17,12,16,0.210926479118329,0.555366269165247,-0.476850786033335
"sp|P62851|RS25_HUMAN",NA,-20.7052961745,-20.3554390394,-20.5217061354,NA,-21.5108462495,6,7,7,7,7,7,0.277939530162413,0.634129213483146,0.485908585499999
"sp|P62854|RS26_HUMAN",-21.3175814162,-20.4070397896,-20.597005686,-21.1432560783,-19.9784871694,-20.2849474171,9,5,6,13,13,12,0.447466937354988,0.76943140323422,-0.304978742333333
"sp|P62857|RS28_HUMAN",-19.4495631981,-18.6286657418,-18.8215455043,-19.8224183162,-18.4865352379,-18.7755784081,11,11,8,7,11,13,0.86372027262181,0.94910371318822,0.0615858393333326
"sp|P62861|RS30_HUMAN",-21.8118975911,NA,NA,-21.7631753331,NA,NA,3,3,2,3,1,3,NA,NA,NA
"sp|P62873|GBB1_HUMAN",-22.1520917697,-22.6820594246,-22.5068020456,-21.9583713045,-22.3216810644,-21.3926892558,6,3,2,8,4,7,0.15841400812065,0.467611336032389,-0.5560705384
"sp|P62875|RPAB5_HUMAN",NA,NA,NA,NA,-20.6005734186,-20.9303310697,NA,2,2,1,2,2,NA,NA,NA
"sp|P62879|GBB2_HUMAN",-22.1822369051,-20.857359789,-22.0228214986,-22.25288775,-21.1262559394,-21.5209578419,7,5,3,8,7,7,0.882458671693735,0.950989632422243,-0.054105553800003
"sp|P62888|RL30_HUMAN",-17.7462179506,-17.8500258584,-17.6947861755,-18.0545658831,-17.6380264526,-17.5991182536,17,14,17,19,18,16,0.981292923433875,0.977951842181607,0.000226868266665292
"sp|P62899|RL31_HUMAN",NA,-21.3903411495,NA,NA,-21.453281423,-21.3852725311,4,4,5,5,7,9,NA,NA,NA
"sp|P62906|RL10A_HUMAN",-20.2401996369,-20.2998477028,-19.2845698436,-19.9513164747,-19.9330180628,-19.4616541029,16,10,14,17,13,14,0.657232453596288,0.87519747235387,-0.159542847633336
"sp|P62910|RL32_HUMAN",-19.1614693604,-18.4518237687,-19.0296121031,-18.7943676895,-18.6395011091,-18.4792493761,14,18,17,19,18,18,0.461778567285383,0.780388151174668,-0.2432623525
"sp|P62913|RL11_HUMAN",-19.6393029797,-19.3916883141,-19.6500811601,-19.9372640203,-19.8185579298,-19.4965840397,10,8,10,8,7,7,0.526795678654292,0.829976580796253,0.190444511966668
"sp|P62917|RL8_HUMAN",-19.6938607068,-19.8940884314,-19.9051393463,-19.1995022247,-19.2614049446,-19.4267213294,9,8,9,13,7,10,0.0993816705336427,0.388038942976356,-0.5351533286
"sp|P62937|PPIA_HUMAN",-16.1754257254,-16.0336916186,-15.9458413281,-15.9922551571,-15.8110698622,-15.9153118744,93,87,87,101,94,93,0.593247099767981,0.851455479452055,-0.145440592799998
"sp|P62942|FKB1A_HUMAN",-19.0978931976,-19.5093009495,-19.0340490104,-18.6299486883,-19.5298155988,-19.2833424351,6,3,4,7,4,4,0.836770881670534,0.943458251150559,-0.0660454784333311
"sp|P62979|RS27A_HUMAN",-18.5962191594,-18.009560597,-18.1885570735,-18.4536826819,-18.1224223822,-17.8641176394,27,35,32,32,36,37,0.708866299303944,0.89873417721519,-0.118038042133335
"sp|P62993|GRB2_HUMAN",-20.5637332527,-22.3151860176,-20.1539297242,-22.7102220814,-21.3371374936,-22.0292257849,7,7,8,9,7,8,0.0837594257540603,0.35258358662614,1.01457878846667
"sp|P62995|TRA2B_HUMAN",-20.4695386118,-20.1079472406,-19.9874607057,-20.1658510995,-19.4944412738,-19.6846803773,16,17,19,16,17,17,0.250480133410673,0.596786534047437,-0.406657935833334
"sp|P63000|RAC1_HUMAN",-22.3574800215,-21.2646097388,-22.3530256562,-22.3390845317,NA,-22.5092631894,6,5,6,6,5,6,0.309509715777262,0.667562122229684,0.432468721716667
"sp|P63010|AP2B1_HUMAN",-21.20224872,-21.9813693021,-21.6452945146,-21.1611761846,-21.5243530431,-20.9728851162,15,26,26,32,28,29,0.280536107888631,0.634129213483146,-0.390166064266669
"sp|P63020|NFUA_ECOLI",NA,NA,NA,-20.7903249103,-21.9870584397,-20.7875448761,1,1,1,4,3,3,NA,NA,NA
"sp|P63092|GNAS2_HUMAN",-23.480737644,-23.2453294412,-23.6727812272,-23.5915512814,-22.3516042563,-23.1056014072,2,4,2,4,4,5,0.260449825986079,0.611738148984199,-0.450030455833332
"sp|P63098|CANB1_HUMAN",-22.1814402651,NA,NA,-22.1657024077,-22.2621349705,NA,2,3,1,3,1,1,NA,NA,NA
"sp|P63151|2ABA_HUMAN",-21.8024351807,-20.6840389303,-21.8735499582,-21.8783903922,-20.6779057285,-22.3021966373,9,13,12,7,9,9,0.703072070765661,0.898393724318267,0.166156229599999
"sp|P63167|DYL1_HUMAN",-19.816873913,-18.5353701539,-18.7062932207,-18.6176999154,-18.8043971063,-18.5775753106,2,8,8,8,7,8,0.374611803944316,0.717507418397626,-0.352954985099998
"sp|P63172|DYLT1_HUMAN",-21.8001895572,NA,NA,-20.3780696735,NA,-21.2312085364,2,NA,1,2,NA,1,NA,NA,NA
"sp|P63173|RL38_HUMAN",-20.2716718937,-19.783089501,-19.3961279923,-20.0402801692,-19.4963626746,-19.7357723149,9,7,7,7,9,9,0.849405742459397,0.945472249269718,-0.0594914094333312
"sp|P63208|SKP1_HUMAN",-19.850666662,-20.0105764874,-20.4442737815,-19.5626263439,-19.3924450382,-19.5557858744,8,6,8,8,5,9,0.0965975928074246,0.37887323943662,-0.598219891466666
"sp|P63218|GBG5_HUMAN",-20.1348569592,NA,-20.083204719,-20.4798086307,NA,-19.7318610459,1,NA,1,1,NA,1,0.975455481438515,0.977557563392597,-0.00319600080000271
"sp|P63220|RS21_HUMAN",-17.9296487802,-18.5027402193,-18.4717655536,-18.4471422462,-17.8436586783,-17.4327939624,13,10,13,15,14,16,0.304032917633411,0.657413676371022,-0.393519888733334
"sp|P63224|GMHA_ECOLI",NA,NA,NA,-20.8227174424,-21.73156027,-21.9031710805,1,1,1,4,3,4,NA,NA,NA
"sp|P63241|IF5A1_HUMAN",-19.8409311208,-20.6404010071,-21.2758675402,-19.5578633926,-20.4142677648,-19.9555318043,39,33,40,47,48,41,0.177572360788863,0.505649717514124,-0.609845568799997
"sp|P63244|RACK1_HUMAN",-17.1770469023,-17.2605227639,-17.3142883043,-17.2434542055,-17.1456377292,-17.0029541607,54,48,42,49,51,50,0.654905597447796,0.87519747235387,-0.119937291700001
"sp|P63279|UBC9_HUMAN",-19.6831395021,-19.4751851884,-19.5106634018,-20.0942534573,-18.6678432116,-19.8557344081,9,12,12,14,14,12,0.946611658932715,0.968499257057949,-0.0170523384333343
"sp|P63284|CLPB_ECOLI",NA,NA,NA,-22.8292482357,-22.1993151619,-22.1354437049,NA,0,NA,9,10,10,NA,NA,NA
"sp|P64503|YEBV_ECOLI",NA,NA,NA,-20.4097134905,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"sp|P64581|YQJD_ECOLI",-20.3803781209,-21.3108075121,-21.8707576775,-21.1387233967,-20.0248321078,-20.9327749857,3,1,1,2,3,3,0.285417343387471,0.636743215031315,-0.488537606766666
"sp|P67775|PP2AA_HUMAN",-22.6920332346,-22.2979964775,-22.4426109393,-22.6970692286,-22.5634993185,-22.4812487017,14,7,12,19,8,14,0.712937064965197,0.899815837937385,0.103058865800001
"sp|P67809|YBOX1_HUMAN",-18.8949700773,-18.4380765953,-18.6420779956,-18.7167180238,-18.7716149096,-18.6833053929,27,30,28,30,30,32,0.81049680974478,0.932391523713421,0.0655045526999984
"sp|P67870|CSK2B_HUMAN",-20.3759115786,-20.2183447851,-20.1806786616,-20.8704089137,-20.4401466238,-19.8930785732,9,6,8,10,8,8,0.669359193735499,0.878095975232198,0.142899695133334
"sp|P67910|HLDD_ECOLI",NA,NA,NA,-22.1689477057,-22.7877620493,-21.37261796,NA,NA,NA,3,2,3,NA,NA,NA
"sp|P67936|TPM4_HUMAN",-21.7482459514,-21.4947406566,-21.1641292446,-21.2603067084,-21.7433479645,-21.6096527717,7,5,7,6,6,7,0.818267401392111,0.934782608695652,0.068730530666663
"sp|P68036|UB2L3_HUMAN",-18.6247582755,-18.663935593,-18.7865962369,-18.4841063863,-18.5877111701,-18.4837568675,29,24,18,30,21,27,0.520281032482599,0.825247291568535,-0.1732385605
"sp|P68206|YJBJ_ECOLI",NA,NA,NA,-20.6616118372,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA
"sp|P68371|TBB4B_HUMAN",NA,-22.999165478,-23.0394305979,-23.3206211645,-23.1902476509,NA,271,245,234,290,266,264,0.399545823665893,0.742338251986379,0.23613636975
"sp|P68400|CSK21_HUMAN",-22.1457585405,-22.9234552547,-22.9935708881,-22.1551362886,-21.9073031241,-22.8193573508,17,9,10,13,12,10,0.318138776102088,0.670811518324607,-0.393662639933332
"sp|P68402|PA1B2_HUMAN",-20.2298527366,-20.4708365644,-19.978000305,-19.7121847394,-20.1572094373,-21.352766644,8,5,6,9,5,6,0.654994344547564,0.87519747235387,0.181157071566666
"sp|P68679|RS21_ECOLI",NA,NA,NA,NA,NA,-21.4233690901,NA,NA,NA,2,1,4,NA,NA,NA
"sp|P68767|AMPA_ECOLI",NA,NA,NA,-24.3525463973,NA,-23.9707034409,NA,NA,NA,3,1,1,NA,NA,NA
"sp|P68919|RL25_ECOLI",NA,NA,NA,-19.9138243613,-21.5550895777,-20.7415712906,1,1,2,4,4,4,NA,NA,NA
"sp|P69441|KAD_ECOLI",-22.7717241489,NA,NA,-22.8324221095,-21.2798276248,-22.4643350844,1,1,11,4,8,5,NA,NA,NA
"sp|P69783|PTGA_ECOLI",-20.6881143612,-22.0184635452,-22.3834639296,-20.4609200752,NA,-20.2669942335,4,5,5,7,6,6,0.0279357598607889,0.191176470588235,-1.33272345765
"sp|P69849|NOMO3_HUMAN",NA,NA,NA,NA,-25.6920301718,NA,NA,NA,NA,2,3,NA,NA,NA,NA
"sp|P69891|HBG1_HUMAN",-20.8307696211,-20.6092330278,-20.0164828631,-20.2740220436,-20.807537574,-20.5970598586,38,3,42,29,41,40,0.816857308584687,0.934782608695652,0.0740446547333349
"sp|P69892|HBG2_HUMAN",-20.7853632035,-19.9244186685,-20.528776541,-20.7892425196,-20.1664077977,-19.9843090786,39,27,42,5,42,41,0.771580336426914,0.915183246073298,-0.0995330056999997
"sp|P69905|HBA_HUMAN",-17.9340312054,-17.7637574166,-18.0780851265,-17.7922618794,-17.8072717145,-17.9115838801,37,38,35,41,33,40,0.742060179814385,0.903825527350733,-0.0882520914999994
"sp|P76015|DHAK_ECOLI",NA,NA,NA,-21.8037802724,NA,-23.0632694534,NA,NA,NA,3,1,2,NA,NA,NA
"sp|P76038|PUUD_ECOLI",NA,NA,NA,-22.900156295,NA,-22.5875503922,NA,NA,NA,1,2,2,NA,NA,NA
"sp|P76108|YDCS_ECOLI",NA,-22.2539182851,NA,-20.8832206272,-20.7430614225,-20.4231409603,NA,3,2,13,9,14,NA,NA,NA
"sp|P76116|YNCE_ECOLI",NA,NA,NA,-23.530578803,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
"sp|P76270|MSRC_ECOLI",NA,NA,NA,-22.6276378782,-22.5609745312,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"sp|P76402|YEGP_ECOLI",-21.5807417125,NA,NA,-19.8601201979,-20.0897273636,-19.8463508116,1,1,NA,2,3,2,NA,NA,NA
"sp|P76558|MAO2_ECOLI",-24.5007907874,-24.2853554119,-24.4331130465,-22.5412058649,-21.9489488129,-22.8704324359,5,3,4,12,5,8,0.00147737819025522,0.0185185185185185,-1.9528907107
